R2_1-m/m	R2_2-m/m	R2_3-m/m	e1	e2
0.00000117	-0.00000285	-0.00000007	-0.00000290	0.00000401
-0.00000054	-0.00000120	-0.00000042	-0.00000120	0.00000024
-0.00000102	-0.00000374	-0.00000091	-0.00000374	0.00000182
0.00000054	-0.00000371	-0.00000051	-0.00000374	0.00000377
0.00000036	-0.00000291	-0.00000070	-0.00000296	0.00000263
0.00000021	-0.00000291	-0.00000009	-0.00000291	0.00000303
-0.00000091	-0.00000285	0.00000040	-0.00000293	0.00000242
-0.00000078	-0.00000274	-0.00000170	-0.00000281	0.00000034
-0.00000015	-0.00000246	-0.00000179	-0.00000267	0.00000073
-0.00000030	-0.00000282	-0.00000075	-0.00000283	0.00000178
-0.00000094	-0.00000207	-0.00000071	-0.00000208	0.00000044
0.00000052	-0.00000167	-0.00000056	-0.00000176	0.00000172
0.00000035	-0.00000388	0.00000237	-0.00000398	0.00000669
0.00000180	-0.00000353	-0.00000080	-0.00000374	0.00000474
0.00000187	-0.00000616	0.00000082	-0.00000618	0.00000887
0.00000060	-0.00000348	0.00000087	-0.00000348	0.00000496
0.00000146	-0.00000263	-0.00000058	-0.00000280	0.00000368
0.00000070	-0.00000374	0.00000132	-0.00000375	0.00000577
-0.00000010	-0.00000332	0.00000221	-0.00000347	0.00000558
-0.00000052	-0.00000531	0.00000014	-0.00000533	0.00000494
0.00000013	-0.00000461	0.00000158	-0.00000466	0.00000637
0.00000241	-0.00000415	0.00000063	-0.00000422	0.00000727
0.00000100	-0.00000359	-0.00000155	-0.00000383	0.00000327
0.00000130	-0.00000240	-0.00000064	-0.00000257	0.00000323
0.00000001	-0.00000430	0.00000060	-0.00000431	0.00000492
0.00000014	-0.00000542	0.00000090	-0.00000544	0.00000648
0.00000304	-0.00000297	0.00000286	-0.00000297	0.00000887
0.00000370	-0.00000418	0.00000253	-0.00000421	0.00001044
0.00000414	-0.00000569	0.00000494	-0.00000569	0.00001477
0.00000490	-0.00000436	0.00000422	-0.00000437	0.00001349
0.00000457	-0.00000727	0.00000358	-0.00000728	0.00001542
0.00000335	-0.00000367	0.00000417	-0.00000369	0.00001121
0.00000473	-0.00000353	0.00000321	-0.00000356	0.00001151
0.00000539	-0.00000501	0.00000373	-0.00000505	0.00001417
0.00000391	-0.00000608	0.00000304	-0.00000609	0.00001305
0.00000448	-0.00000621	0.00000564	-0.00000623	0.00001636
0.00000389	-0.00000375	0.00000359	-0.00000375	0.00001123
0.00000552	-0.00000625	0.00000667	-0.00000626	0.00001845
0.00000742	-0.00000522	0.00000757	-0.00000522	0.00002021
0.00000812	-0.00000664	0.00000946	-0.00000666	0.00002424
0.00001030	-0.00000614	0.00001042	-0.00000614	0.00002686
0.00001145	-0.00000762	0.00001128	-0.00000762	0.00003035
0.00001057	-0.00000687	0.00001062	-0.00000687	0.00002806
0.00001217	-0.00000776	0.00001121	-0.00000776	0.00003115
0.00000970	-0.00000649	0.00001145	-0.00000652	0.00002767
0.00001030	-0.00000686	0.00001013	-0.00000686	0.00002729
0.00001046	-0.00000629	0.00001007	-0.00000629	0.00002683
0.00000888	-0.00000870	0.00001301	-0.00000881	0.00003069
0.00001017	-0.00000923	0.00001219	-0.00000926	0.00003162
0.00001186	-0.00001042	0.00001625	-0.00001052	0.00003862
0.00001561	-0.00000975	0.00001612	-0.00000975	0.00004148
0.00002021	-0.00001217	0.00001975	-0.00001218	0.00005214
0.00002221	-0.00001141	0.00002223	-0.00001142	0.00005586
0.00002508	-0.00001213	0.00002431	-0.00001213	0.00006152
0.00002328	-0.00001252	0.00002440	-0.00001253	0.00006021
0.00002314	-0.00001269	0.00002294	-0.00001269	0.00005877
0.00002209	-0.00001170	0.00002107	-0.00001170	0.00005486
0.00002317	-0.00001338	0.00002356	-0.00001338	0.00006011
0.00002183	-0.00001308	0.00002356	-0.00001309	0.00005848
0.00002081	-0.00001362	0.00002219	-0.00001363	0.00005662
